FRAMEID	COMMONNAME	SMILES	INCHI	CLASS?
CPD-12173	<i>S</i>-3-hydroxy-isobutanoyl-CoA	CCCOSCCNCOCCNCOCOCCCCOPOOPOOCC1COP[O-]O[O-]COCO1N3C2CCNNCN2NC3[O-][O-]CO	InChI1S/C25H42N7O18P3S/c1-138-33243854-7-6-27-15344-5-28-22371936252310-47-53444550-52424346-9-14-1849-5139404117352348-1432-12-31-16-202629-11-30-211632/h11-1417-19233335-36H4-10H21-3H3H2734H2837H4243H4445H2262930H2394041/p-4/t13-14+17+18+19-23+/m0/s1	false
D-SEDOHEPTULOSE-1-7-P2	D-sedoheptulose-17-bisphosphate	COPO[O-][O-]COCOCOCOCCOP[O-]O[O-]O	InChI1S/C7H16O13P2/c8-31-19-21131415510712611492-20-22161718/h35-810-12H1-2H2H2131415H2161718/p-4/t3-5-6-7-/m1/s1	false
CPD-8092	1-oleoyl-2-&alpha;-linolenoyl-phosphatidylcholine	CCCCCCCCCCCCCCCCCCOCCOCOCCCCCCCCCCCCCCCCCCOP[O-]OOCC[N+]CCCO	InChI1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-434650-40-4241-52-54484951-39-38-4534553-444737-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h911151720-2342H6-81012-141618-1924-41H21-5H3/b11-9-17-15-22-20-23-21-/t42-/m1/s1	false
ETHANOL-AMINE	ethanolamine	CCO[N+]	InChI1S/C2H7NO/c3-1-2-4/h4H1-3H2/p+1	false
AMINO-HYDROXYMETHYL-METHYL-PYR-P	4-amino-2-methyl-5-phosphooxymethylpyrimidine	CC1NCCCOPO[O-][O-]CN1N	InChI1S/C6H10N3O4P/c1-4-8-2-5679-43-13-14101112/h2H3H21H3H2789H2101112/p-2	false
CPD-8659	miraxanthin V	CNCCC1CCNCC1CO[O-]C[O-]OCC2CCCCC2OO	InChI1S/C17H18N2O6/c20-14-2-1-109-1514213-5-18-6-4-11-7-1216222319-138-11172425/h1-246-791319-21H358H2H2223H2425/p-2/b11-4-18-6-/t13-/m0/s1	false
3-MERCAPTO-PYRUVATE	3-mercaptopyruvate	CCCO[O-]OS	InChI1S/C3H4O3S/c4-21-7356/h7H1H2H56/p-1	false
CPD-13914	cyclic-23-<i>O</i>-oxalyl-L-threonate	COC1OCOCOOCCO[O-]1	InChI1S/C6H6O7/c7-1-2-348913-61151012-2/h2-37H1H2H89/p-1	false
CPD-440	<i>N</i>-feruloyltyramine	COC1CCCCC1CCCNCCC2CCCCC2OOO	InChI1S/C18H19NO4/c1-23-17-12-144-8-1617215-9-182219-11-10-13-2-6-15207-3-13/h2-91220-21H10-11H21H3H1922/b9-5+	false
CPD-10508	indole-3-butyryl-CoA	C5NCC1CNCN1C2OCCOPOOOCO2COPOOPOOCCCCCOCONCCCONCCSCOCCCC3C4CNC3CCCC4OON5N	null	false
GERANYLGERANYL-PP	geranylgeranyl diphosphate	CCCCCCCCCCCCCCCCCCCCOPO[O-]OPO[O-][O-]	InChI1S/C20H36O7P2/c1-1729-6-10-18311-7-12-19413-8-14-20515-16-26-29242527-28212223/h9111315H6-810121416H21-5H3H2425H2212223/p-3/b18-11+19-13+20-15+	false
NA2SO4	sodium sulfate	null	null	false
CPD-8844	3<i>E</i>-48-dimethylnona-137-triene	CCCCCCCCCCC	InChI1S/C11H18/c1-5-7-1149-6-8-1023/h57-8H169H22-4H3/b11-7+	false
CPD-312	strombine	CC[N+]CCO[O-]CO[O-]	InChI1S/C5H9NO4/c1-359106-2-478/h36H2H21H3H78H910/p-1/t3-/m1/s1	false
CPD-10516	2-trans-indole-3-butyryl-CoA	C5NCC1CNCN1C2OCCOPOOOCO2COPOOPOOCCCCCOCONCCCONCCSCOCCCC3C4CNC3CCCC4OON5N	null	false
CPD-8891	<i>R</i>-propane-12-diol	CCCOO	InChI1S/C3H8O2/c1-352-4/h3-5H2H21H3/t3-/m1/s1	false
ALPHA-D-GALACTOSE	&alpha;-D-galactose	COC1OCOCOCOCO1	InChI1S/C6H12O6/c7-1-2-384951061112-2/h2-11H1H2/t2-3+4+5-6+/m1/s1	false
CPD-7726	dihydroxyphaseic acid	CCCCC1C2CCCC1COC2OCOCC[O-]O	InChI1S/C15H22O5/c1-106-1217184-5-15191327-11168-1415320-9-13/h4-6111619H7-9H21-3H3H1718/p-1/b5-4+10-6-/t11-13?14-15-/m0/s1	false
CPD-16638	12-demethyl-elloramycin	CC1CCOOCCCC2CC3CCC12OCC4COCCCCC3O4OOOCOOOC5COCCCCCO5OCOC	InChI1S/C31H34O15/c1-11-18-139-151911283744-746-29-2443-62342-52241-412245-298-14-2021183327363038173210-1640-32635313039251434/h8-101222-242629333538-39H1-7H3/t12-22-23+24+26+29-30+31+/m0/s1	false
DEHYDRO-3-DEOXY-L-RHAMNONATE	2-dehydro-3-deoxy-L-rhamnonate	CCOCOCCOC[O-]O	InChI1S/C6H10O5/c1-37482-5961011/h3-47-8H2H21H3H1011/p-1/t3-4+/m0/s1	false
CPD-4443	<i>cis</i>-zeatin riboside monophosphate	CCCCNC3NCNC2NC1CCCO1COP[O-][O-]OOOCNC23CO	InChI1S/C15H22N5O8P/c1-84-212-3-16-13-10-1418-6-17-13207-19-1015-12231122928-155-27-29242526/h26-7911-121521-23H3-5H21H3H161718H2242526/p-2/b8-2-/t9-11-12-15-/m1/s1	false
CPD-10272	<i>NN</i>-dihydroxy-L-isoleucine	CCCCCNOOC[O-]O	InChI1S/C6H13NO4/c1-3-42568971011/h4-510-11H3H21-2H3H89/p-1/t4-5-/m0/s1	false
CPD-3943	22&alpha;-hydroxy-campesterol	CCCCCCCOCC[CH]3CC[CH]4[CH]2CCC1CCOCCCC1[CH]2CCCC34	InChI1S/C28H48O2/c1-17218315-263019423-9-10-24-22-8-7-20-16-212911-13-27205252212-14-2823246/h717-1921-2629-30H8-16H21-6H3/t18-19+21+22+23-24+25+26+27+28-/m1/s1	false
DIMETHYL-D-RIBITYL-LUMAZINE	67-dimethyl-8-1-D-ribityllumazine	CC2CCNCCOCOCOCOC1CCO[N-]CON1N2	InChI1S/C13H18N4O6/c1-5-62173-71910218204-1811-914-5122216-132315-11/h7-81018-21H3-4H21-2H3H162223/p-1/t7-8+10-/m0/s1	false
|B-DGAL-HEX-1:5_6:A|	b-dgal-HEX-1:5|6:a	null	null	false
TTP	dTTP	CC1CNCONCO1C2CCOCCOPO[O-]OPO[O-]OPO[O-][O-]O2	InChI1S/C10H17N2O14P3/c1-5-3-12101511-95148-2-613724-84-23-28192026-29212225-27161718/h36-813H24H21H3H1920H2122H111415H2161718/p-4/t6-7+8+/m0/s1	false
CPD-14675	pristanoyl-CoA	CCCCCCCCCCCCCCCCCCCOSCCNCOCCNCOCOCCCCOPOOPOOCC1COP[O-]O[O-]COCO1N3C2CCNNCN2NC3[O-][O-]	InChI1S/C40H72N7O17P3S/c1-25211-8-12-26313-9-14-27415-10-16-285395268-20-19-42-304817-18-43-37513450406722-61-67585964-66565760-21-29-3363-6553545532493862-2947-24-46-31-354144-23-45-363147/h23-2932-343849-50H8-22H21-7H3H4248H4351H5657H5859H2414445H2535455/p-4/t26?27?28?29-32-33-34+38-/m1/s1	false
CPD-7969	sulcatone	CCCCCCCOC	InChI1S/C8H14O/c1-725-4-6-839/h5H46H21-3H3	false
RUTIN	rutin	CC1COCOCOCO1OCC2COCOCOCO2OC4CC3CCOCOCC3OC5CCO4COCCOC5	InChI1S/C27H30O16/c1-8-1732203522372640-839-7-15-1833213623382742-1543-25-193416-13315-10286-141641-24259-2-3-112912304-9/h2-681517-1820-2326-3335-38H7H21H3/t8-15+17-18+20+21-22+23+26+27-/m0/s1	false
LEUCOPELARGONIDIN-CMPD	2<i>R</i>3<i>S</i>4<i>S</i>-leucopelargonidin	C3CC2OC1CCCCC1CC2OOOOCCCC3O	InChI1S/C15H14O6/c16-8-3-1-72-4-815-1420131912-10185-9176-111221-15/h1-613-20H/t13-14-15+/m0/s1	false
PRENAL	3-methyl-2-butenal	CCCCOC	InChI1S/C5H8O/c1-523-4-6/h3-4H1-2H3	false
CPD-9956	ubiquinol-<i>8</i>	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1COCOCCOCCOCC1	InChI1S/C49H76O4/c1-36220-13-21-37322-14-23-38424-15-25-39526-16-27-40628-17-29-41730-18-31-42832-19-33-43934-35-45-441046504852-114953-12474551/h202224262830323450-51H13-192123252729313335H21-12H3/b37-22+38-24+39-26+40-28+41-30+42-32+43-34+	false
CPD-15227	6-tuliposide A	CCCCOCOOCC1COCOCOCOO1	InChI1S/C11H18O8/c1-52-3-12101618-4-6-713814915111719-6/h6-911-1517H1-4H2/t6-7-8+9-11?/m1/s1	false
CPD-12366	8-oxo-GTP	COPO[O-]OPOOP[O-][O-]O[O-]C1OCCOCO1N3CONC2CONCNNC23	InChI1S/C10H16N5O15P3/c11-9-13-6-371814-912-10191568-517416228-81-27-32232430-33252629-31202122/h24-5816-17H1H2H1219H2324H2526H2202122H311131418/p-4/t2-4-5-8-/m1/s1	false
CA+2	Ca<SUP>2+</SUP>	[Ca++]	InChI1S/Ca/q+2	false
CPDQT-39	3-6'-methylthiohexylmalate	CSCCCCCCCCOCO[O-]CO[O-]	InChI1S/C11H20O5S/c1-17-7-5-3-2-4-6-8101314912111516/h8-912H2-7H21H3H1314H1516/p-2	false
OCTAPRENYL-METHYL-OH-METHOXY-BENZQ	3-demethylubiquinol-<i>8</i>	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CCCOCOCCOCO1	InChI1S/C48H74O4/c1-35219-12-20-36321-13-22-37423-14-24-38525-15-26-39627-16-28-40729-17-30-41831-18-32-42933-34-44-431045494852-114751464450/h192123252729313349-51H12-182022242628303234H21-11H3/b36-21+37-23+38-25+39-27+40-29+41-31+42-33+	false
CPD-7424	9'-<i>cis</i>-neoxanthin	CCCCCCC[CH]CC1COCCCOCCCC1CCCCCCCCCCCCCC23CCCCCOCCCO23	InChI1S/C40H56O4/c1-2917-13-19-31321-22-35-365625-334127-383594315-11-12-16-30218-14-20-32423-24-40-377826-344228-39401044-40/h11-2123-2433-3441-43H25-28H21-10H3/b12-11+17-13+18-14+24-23+29-15+30-16+31-19+32-20-/t22-33-34-38+39+40-/m0/s1	false
CPD1F-128	<i>ent</i>-kaurene	CC1C4CC3C1CC[CH]2CCCCCCCC2[CH]3CC4	InChI1S/C20H32/c1-14-12-20-11-8-16-18239-5-10-1916417207-6-151413-20/h15-17H15-13H22-4H3/t15-16-17+19-20-/m1/s1	false
CPD-13868	12<i>E</i>-9&alpha;-labda-8171214-triene	CCCCCC[CH]1C2CCCCCC[CH]CCCC12C	InChI1S/C20H32/c1-7-1529-11-17-16310-12-18-194513-8-14-2017186/h7917-18H13810-14H224-6H3/b15-9+/t17-18+20-/m1/s1	false
CPD-4942	+-pulegone	CCC1CCCCC1OCC	InChI1S/C10H16O/c1-729-5-4-836-10911/h8H4-6H21-3H3/t8-/m1/s1	false
L-GULONO-1-4-LACTONE	L-gulono-14-lactone	CC[CH]1CCCO1OOOOO	InChI1S/C6H10O6/c7-1-285-3941061112-5/h2-57-10H1H2/t2-3+4-5+/m0/s1	false
CPD-12119	demethylmenaquinol-10	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CCOC2CCCCCCO12CC	InChI1S/C60H88O2/c1-46223-14-24-47325-15-26-48427-16-28-49529-17-30-50631-18-32-51733-19-34-52835-20-36-53937-21-38-541039-22-40-551143-44-56-45-596157-41-12-13-42-5857605662/h12-1323252729313335373941-434561-62H14-2224262830323436384044H21-11H3/b47-25+48-27+49-29+50-31+51-33+52-35+53-37+54-39+55-43+	false
CPD-1301	tetrahydropteroyl tri-L-glutamate	C[CH]2NC1CNCNC1NC2NONC3CCCCNCCO[O-]CCCNCCO[O-]CCCNCCO[O-]CCC[O-]OOOOCC3	InChI1S/C29H37N9O12/c30-29-37-23-22254438-2933-1512-32-2311-31-14-3-1-132-4-14244336-182849506-9-204034-162645465-8-193935-172747487-10-214142/h1-415-183133H5-12H2H3440H3539H3643H4142H4546H4748H4950H43032373844/p-4/t15-16-17-18-/m0/s1	false
CPD-14926	phytenal	CCCCCCCCCCCCCCCCCCC[CH]O	InChI1S/C20H38O/c1-1729-6-10-18311-7-12-19413-8-14-20515-16-21/h15-19H6-14H21-5H3/b20-15+/t18-19-/m1/s1	false
CPD-12130	menaquinol-<i>13</i>	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CCCOC2CCCCCCO12CCCCC	InChI1S/C76H114O2/c1-58230-18-31-59332-19-33-60434-20-35-61536-21-37-62638-22-39-63740-23-41-64842-24-43-65944-25-45-661046-26-47-671148-27-49-681250-28-51-691352-29-53-701456-57-72-7115757773-54-16-17-55-7473767278/h16-1730323436384042444648505254-5677-78H18-2931333537394143454749515357H21-15H3/b59-32+60-34+61-36+62-38+63-40+64-42+65-44+66-46+67-48+68-50+69-52+70-56+	false
CATECHOL	catechol	C1CCCCC1OO	InChI1S/C6H6O2/c7-5-3-1-2-4-658/h1-47-8H	false
2-DEOXYGLUCOSE-6-PHOSPHATE	2-deoxyglucose 6-phosphate	CCCCCCOP[O-][O-]OOOOO	InChI1S/C6H13O8P/c7-2-1-48610593-14-15111213/h24-68-10H13H2H2111213/p-2/t4-5-6+/m1/s1	false
CPD-411	N-caffeoylputrescine	CCCCNCOCCC1CCCCC1OO[N+]	InChI1S/C13H18N2O3/c14-7-1-2-8-15-13186-4-10-3-5-111612179-10/h3-6916-17H1-27-814H2H1518/p+1/b6-4+	false
CPD-14529	phenylethyl acetate	CCOCCC1CCCCC1O	InChI1S/C10H12O2/c1-91112-8-7-10-5-3-2-4-6-10/h2-6H7-8H21H3	false
CPD-7408	<i>all-trans</i> phytofluene	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC	InChI1S/C40H62/c1-33219-13-23-37727-17-31-39929-15-25-35521-11-12-22-36626-16-30-401032-18-28-38824-14-20-3434/h11-121519-222527-30H13-1416-1823-242631-32H21-10H3/b12-11+25-15+35-21+36-22+37-27+38-28+39-29+40-30+	false
CPD-8242	&alpha;-zingiberene	CCCCCCC1CCCCC1CCC	InChI1S/C15H24/c1-1226-5-7-14415-10-8-1339-11-15/h68-1014-15H5711H21-4H3/t14-15?/m0/s1	false
OROTIDINE-5-PHOSPHATE	orotidine 5'-phosphate	COPO[O-][O-]C1OCCOCO1N2CCO[O-]CCONCO2	InChI1S/C10H13N2O11P/c13-5-1-39161712101811-58-715614423-82-22-24192021/h146-814-15H2H2H1617H111318H2192021/p-3/t4-6-7-8-/m1/s1	false
CPD-8259	&beta;-D-ribosylnicotinate	COC1COCOCO1[N+]2CCCCCO[O-]C2	InChI1S/C11H13NO6/c13-5-7-8149151018-712-3-1-2-64-12111617/h1-47-1013-15H5H2/t7-8-9-10-/m1/s1	false
PURINE	purine	C1NCNC2NCNC12	InChI1S/C5H4N4/c1-4-58-2-6-19-3-7-4/h1-3HH6789	false
1-CARBOXYVINYL-CARBOXYPHOSPHONATE	carboxyphosphonoenolpyruvate	CCC[O-]OOPOCO[O-][O-]	InChI1S/C4H5O7P/c1-235611-12910478/h1H2H56H78H910/p-3	false
CPD-5881	4&alpha;-hydroxy-tetrahydrobiopterin	CCOCO[CH]1CNC2NCNNCOCON12	InChI1S/C9H15N5O4/c1-3155164-2-11-6-91814-471713-81012-6/h3-514-1618H2H21H3H31011121317/t3?4-5?9+/m1/s1	false
CPD0-2463	5-phospho-&alpha;-D-ribose 12-cyclic phosphate	CC1OC2CC1OOPO2[O-]OOP[O-][O-]O	InChI1S/C5H10O10P2/c6-3-21-12-1678913-5-4314-17101115-5/h2-6H1H2H1011H2789/p-3/t2-3-4-5-/m1/s1	false
CPD-7193	epi-cholestanol	CCCCCCCC[CH]1CC[CH]2C1CCC[CH]4[CH]2CC[CH]3CCCCCOC34	InChI1S/C27H48O/c1-1827-6-8-19323-11-12-24-22-10-9-20-17-212813-15-26204252214-16-2723245/h18-2528H6-17H21-5H3/t19-20+21-22+23-24+25+26+27-/m1/s1	false
|X-LARA-PEN-1:4|	x-lara-PEN-1:4	null	null	false
VAL	L-valine	CCCC[N+]C[O-]O	InChI1S/C5H11NO2/c1-3246578/h3-4H6H21-2H3H78/t4-/m0/s1	false
CPD-15001	cyanidin-3-<i>O</i>-rutinoside	CC1COCOCOCO1OCC2COCOCOCO2OC4CC3CCOCOCC3[O+]C5CC4C[O-]CCOC5	InChI1S/C27H30O15/c1-9-1932213423362639-938-8-18-2033223524372742-1841-17-7-12-14305-11286-161240-251710-2-3-132915314-10/h2-7918-2426-2732-37H8H21H3H3-28293031/t9-18+19-20+21+22-23+24+26+27+/m0/s1	false
CPD-12821	12-dipalmitoyl-phosphatidylglycerol-phosphate	CCCCCCCCCCCCCCCCOOCCCOPOCCOCOPO[O-][O-][O-]OOCOCCCCCCCCCCCCCCC	InChI1S/C38H76O13P2/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-374047-33-3634-50-53454649-32-353931-48-5242434451-384130-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h35-3639H3-34H21-2H3H4546H2424344/p-3/t35-36+/m0/s1	false
CPD-7866	cyanidin 3-p-coumaroyl-glucoside	COCOCCC1CCCOCC1C5COCOCOCOC3CC2CCCOCOC2[O+]C4CC3C[O-]CC[O-]C4O5	InChI1S/C30H26O13/c31-16-5-1-142-6-163-8-253640-13-24-2637273828393043-2442-23-12-18-203410-173211-221841-292315-4-7-193321359-15/h1-122426-283037-39H13H2H4-313233343536/p-1/t24-26-27+28-30?/m1/s1	false
NIACINE	nicotinate	C1CCCC[O-]OCN1	InChI1S/C6H5NO2/c8-695-2-1-3-7-4-5/h1-4HH89/p-1	false
CPD-8082	1-18:2-2-18:2-digalactosyldiacylglycerol	CCCCCCCCCCCCCCCCCCOCCCOC2OCCOC1OCCOCOCOCO1COCOCO2OCOCCCCCCCCCCCCCCCCCO	InChI1S/C51H88O15/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-425361-36-3964-435434-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-237-62-50-4960475845564166-5038-63-51-4859465744554035-5265-51/h11-1417-2039-4144-5255-60H3-1015-1621-38H21-2H3/b13-11-14-12-19-17-20-18-/t39-40-41-44+45+46+47+48-49-50-51-/m1/s1	false
CPD-3061	2<i>S</i>-liquiritigenin	C1CCCCC1C3OC2CCCCC2CC3OOO	InChI1S/C15H12O4/c16-10-3-1-92-4-1014-8-131812-6-5-11177-151219-14/h1-71416-17H8H2/t14-/m0/s1	false
PROPANE-1-2-DIOL	<i>S</i>-propane-12-diol	CCCOO	InChI1S/C3H8O2/c1-352-4/h3-5H2H21H3/t3-/m0/s1	false
CPD-9864	3-decaprenyl-4-hydroxybenzoate	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1COCCCCO[O-]C1CCCCCCCCCC	InChI1S/C57H86O3/c1-44221-12-22-45323-13-24-46425-14-26-47527-15-28-48629-16-30-49731-17-32-50833-18-34-51935-19-36-521037-20-38-531139-40-54-43-5557596041-42-565458/h2123252729313335373941-4358H12-2022242628303234363840H21-11H3H5960/p-1/b45-23+46-25+47-27+48-29+49-31+50-33+51-35+52-37+53-39+	false
CPD-10458	4-hydroxylamino-26-dinitrotoluene 3C-glucoside	CC2C[N+]O[O-]CCNOCC1OCCOCOCOCO1C[N+][O-]O2	InChI1S/C13H17N3O10/c1-4-61522232-514-2189416242513-12201119101873-1726-13/h2710-1417-21H3H21H3/t7-10-11+12-13?/m1/s1	false
ALPHA-N-ACETYLNEURAMINYL-28-ETCETERA	an <i>N</i>-acetyl-&alpha;-neuraminyl-2&rarr;8-<i>N</i>-acetyl-&alpha;-neuraminyl-2&rarr;3-&beta;-D-galactosyl-R	CCONC3CCCOCCOCO[CH]2OCCO[O-]OC1COCO[R]OCCOCO1CCOCNCCO2CO[O-]O[CH]3COCOCOO	null	false
CPD-5742	amobarbital	CCC1C[N-]CNC1OOOCCCCC	InChI1S/C11H18N2O3/c1-4-116-5-72381412-101613-91115/h7H4-6H21-3H3H21213141516/p-1	false
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	2-C-methyl-D-erythritol 4-phosphate	CCOCOCOCOP[O-][O-]O	InChI1S/C5H13O7P/c1-583-6472-12-1391011/h46-8H2-3H21H3H291011/p-2/t4-5+/m1/s1	false
CPD-14276	3<i>R</i>-3-hydroxy-behenoyl-CoA	CCCCCCCCCCCCCCCCCCCCOCCOSCCNCOCCNCCOCCCCOP[O-]OOP[O-]OOCC1COPO[O-][O-]COCO1N3CNC2CNNCNC23O	InChI1S/C43H78N7O18P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-315126-345372-25-24-45-335222-23-46-41563855432328-65-71626368-70606164-27-32-3767-6957585936544266-3250-30-49-35-394447-29-48-403550/h29-3236-38425154-55H4-28H21-3H3H4552H4656H6061H6263H2444748H2575859/p-4/t31-32-36-37-38+42-/m1/s1	false
CPD-11740	carboxyphosphinopyruvate	CPC[O-]O[O-]OCOCO[O-]	InChI1S/C4H5O7P/c5-23671-121011489/h1H2H67H89H1011/p-3	false
BUTANOL	butan-1-ol	CCCCO	InChI1S/C4H10O/c1-2-3-4-5/h5H2-4H21H3	false
CPD-165	indol-3-yl-acetyl-<i>myo</i>-inositol	C3CCCOOC1COCOCOCOCO1C2CCCCC2N3	InChI1S/C16H19NO7/c18-105-7-6-17-9-4-2-1-3-87924-16-1422122011191321151623/h1-4611-1719-23H5H2/t11-12-13+14-15-16-/m1/s1	false
CHLOROPHYLLIDE-A	chlorophyllide <i>a</i>	CCC2CCC4CC9CCCCCCO[O-]C5N[Mg]36N1CCCCCCC1CC2N34CC7CCC8CO[C-]COCOC5CN6789	null	false
1-CHLORO-24-DINITROBENZENE	1-chloro-24-dinitrobenzene	C1CCClCCC1[N+][O-]O[N+][O-]O	InChI1S/C6H3ClN2O4/c7-5-2-1-4810113-6591213/h1-3H	false
|X-DGRO-DGAL-NON-2:6_1:A_2:KETO_3:D|	x-dgro-dgal-NON-2:6|1:a|2:keto|3:d	null	null	false
CPD-18761	coniferyl alcohol radical	COC1CCCCCOCCCO1	InChI1S/C10H11O3/c1-13-10-7-83-2-6-114-5-91012/h2-5711H6H21H3	false
CPD-7137	pelargonidin-35-di-<i>O</i>-&beta;-<i>D</i>-glucoside	COC5CCCCOC3CC[O-]CC2[O+]CC1CCCOCC1CCC23OC4COCOCOCCOO4O5OOO	InChI1S/C27H30O15/c28-8-17-1932213423362641-1739-15-6-12315-14-13157-162538-1410-1-3-11304-2-1040-27-243722352033189-2942-27/h1-717-2426-2932-37H8-9H2H-3031/t17-18-19-20-21+22+23-24-26-27-/m1/s1	false
CPD-4209	<i>N<sup>6</sup></i>-dimethylallyladenine	CCCCCNC1NCNC2NCNC12	InChI1S/C10H13N5/c1-723-4-11-9-8-1013-5-12-815-6-14-9/h35-6H4H21-2H3H21112131415	false
MANNOSE-1P	&alpha;-D-mannose 1-phosphate	COC1OCOPO[O-][O-]COCOCO1	InChI1S/C6H13O9P/c7-1-2-3849510614-215-16111213/h2-10H1H2H2111213/p-2/t2-3-4+5+6-/m1/s1	false
CPD-12867	4&alpha;-carboxy-4&beta;14&alpha;-dimethyl-9&beta;19-cyclo-5&alpha;-ergost-2424<sup>1</sup>-en-3&beta;-ol	CCCCCCCCC[CH]3CCC4C[CH]1CC[CH]5CC[O-]OCCOCCC2CC12CCCC345	InChI1S/C31H50O3/c1-1922038-9-21422-12-14-28623-10-11-24-297263334253213-15-302418-31233017-16-2722285/h1921-2532H38-18H21-24-7H3H3334/p-1/t21-22-23+24+25+27-28+29+30?31?/m1/s1	false
1-KETO-2-METHYLVALERATE	<i>R</i>-23-dihydroxy-3-methylpentanoate	CCCOCCC[O-]OO	InChI1S/C6H12O4/c1-3-621047589/h4710H3H21-2H3H89/p-1/t4-6+/m0/s1	false
SORBITOL	D-sorbitol	CCCCCCOOOOOO	InChI1S/C6H14O6/c7-1-395116124102-8/h3-12H1-2H2/t3-4+5-6-/m1/s1	false
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	R-4'-phosphopantothenoyl-L-cysteine	CCCCOPO[O-][O-]COCONCCCONCCSCO[O-]	InChI1S/C12H23N2O9PS/c1-1226-23-24202122916101713-4-3-81514-75-25111819/h791625H3-6H21-2H3H1317H1415H1819H2202122/p-3/t7-9-/m0/s1	false
CPD0-1533	2R3S6S-3-fluoro-26-diaminopimelate	CCC[N+]CO[O-]CFC[N+]CO[O-]	InChI1S/C7H13FN2O4/c8-3510713141-2-4961112/h3-5H1-29-10H2H1112H1314/t3-4-5-/m0/s1	false
PALMITALDEHYDE	palmitaldehyde	CCCCCCCCCCCCCCC[CH]O	InChI1S/C16H32O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h16H2-15H21H3	false
|X-DGLC-HEX-1:5|	x-dglc-HEX-1:5	null	null	false
CPD-16675	3&beta;-hydroxy-1215-cassadiene-11-one	CCC3CCC2CC1CCCCC1CC2CCOCCC3O	InChI1S/C20H30O2/c1-6-13-11-152118-14121327-8-16-193417229-10-2016185/h611-121416-1822H17-10H22-5H3/t12-14?16?17-18?20-/m0/s1	false
OH-PYR	hydroxypyruvate	CCOC[O-]OO	InChI1S/C3H4O4/c4-1-25367/h4H1H2H67/p-1	false
CPD-15861	a <i>holo</i> malonate-decarboxylase	CCCCOP[O-]OOP[O-]OOCC2COCOC1COCOCCOPO[O-]OCCN[[an <i>apo</i> malonate decarboxylase acyl-carrier protein]]CO[[an <i>apo</i> malonate decarboxylase acyl-carrier protein]]O1CO2N4CNC3CNNCNC34COCONCCCONCCS	null	false
6G-KESTOTETRAOSE	6<sub>G</sub>-kestotriose	CC1OCCC1OOOCC2CCOCOCO2OC3OCCOCO3COCOOCOO	InChI1S/C18H32O16/c19-1-6-10241428174-2132-630-3-8-923122613271631-834-185-221529112572-2033-18/h6-1619-29H1-5H2/t6-7-8-9-10-11-12+13-14+15+16-17-18+/m1/s1	false
CIS-3-HEXENOL	Z-hex-3-en-ol	CCCCCCO	InChI1S/C6H12O/c1-2-3-4-5-6-7/h3-47H25-6H21H3/b4-3-	false
BIPHENYL-23-DIOL	biphenyl-23-diol	C1CCCCC1C2CCCCOCO2	InChI1S/C12H10O2/c13-11-8-4-7-101211149-5-2-1-3-6-9/h1-813-14H	false
HYDROXY-METHYL-BUTENYL-DIP	<i>E</i>-4-hydroxy-3-methylbut-2-en-1-yl diphosphate	CCCOCCOPOP[O-]O[O-]O[O-]	InChI1S/C5H12O8P2/c1-54-62-3-12-15101113-14789/h26H3-4H21H3H1011H2789/p-3/b5-2+	false
THZ	5-2-hydroxyethyl-4-methylthiazole	CC1NCSCCCO1	InChI1S/C6H9NOS/c1-5-62-3-89-4-7-5/h48H2-3H21H3	false
CPD1F-114	<i>all-trans</i>-lycopene	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC	InChI1S/C40H56/c1-33219-13-23-37727-17-31-39929-15-25-35521-11-12-22-36626-16-30-401032-18-28-38824-14-20-3434/h11-1215-2225-32H13-1423-24H21-10H3/b12-11+25-15+26-16+31-17+32-18+35-21+36-22+37-27+38-28+39-29+40-30+	false
L-EPINEPHRINE	R-adrenaline	C[N+]CCOC1CCCCC1OO	InChI1S/C9H13NO3/c1-10-5-9136-2-3-7118124-6/h2-49-13H5H21H3/p+1/t9-/m0/s1	false
